               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11765,            0.027424,                   0,           0.0093318,            0.014493,            0.002524,          0.00042499,             0.10982,            0.022304,                   0,             0.00025,             0.00025,             0.09775
                   1,             0.10314,            0.027396,                   0,            0.011923,             0.19565,           0.0060223,           0.0010767,            0.096809,            0.022681,                   0,          0.00050999,          0.00050999,             0.09541
                   2,            0.092486,            0.029192,                   0,            0.057311,             0.16667,            0.024191,           0.0044378,            0.088463,            0.023118,                   0,          0.00076992,          0.00076992,             0.09307
                   3,             0.08565,            0.028681,                   0,            0.075075,             0.18841,            0.049246,            0.010798,            0.089028,             0.02161,                   0,           0.0010298,           0.0010298,             0.09073
                   4,            0.079694,            0.030315,                   0,             0.31474,             0.22464,             0.13438,            0.034169,            0.077948,            0.022329,                   0,           0.0012895,           0.0012895,            0.088389
                   5,            0.071154,            0.029441,                   0,             0.49618,             0.23188,              0.2202,            0.075394,            0.074175,            0.021582,                   0,            0.001549,            0.001549,            0.086049
                   6,            0.066593,            0.025979,                   0,             0.37414,             0.39854,             0.34029,             0.15436,            0.065548,            0.020765,                   0,           0.0018084,           0.0018084,            0.083708
                   7,            0.064956,             0.02828,                   0,             0.26407,             0.36957,             0.17906,            0.039018,             0.06522,            0.019718,                   0,           0.0020675,           0.0020675,            0.081367
                   8,            0.061817,            0.025716,                   0,             0.38353,             0.27501,             0.24123,            0.085759,            0.063045,            0.019826,                   0,           0.0023263,           0.0023263,            0.079026
                   9,            0.059363,            0.024903,                   0,             0.55848,              0.4058,             0.44718,             0.18346,            0.056126,            0.018102,                   0,           0.0025848,           0.0025848,            0.076685
                  10,            0.058098,            0.022981,                   0,             0.38765,             0.57971,             0.38939,             0.11259,            0.056898,            0.017678,                   0,            0.002843,            0.002843,            0.074343
                  11,            0.056907,            0.021625,                   0,             0.70319,             0.39855,             0.55957,             0.18387,            0.050971,            0.017706,                   0,           0.0031007,           0.0031007,            0.072001
                  12,            0.053588,            0.021719,                   0,              0.4834,             0.54924,             0.52528,             0.17686,            0.053502,            0.016323,                   0,            0.003358,            0.003358,            0.069658
                  13,            0.052529,            0.022117,                   0,             0.54051,             0.57964,             0.56341,             0.23345,            0.049978,            0.016286,                   0,           0.0036149,           0.0036149,            0.067315
                  14,            0.052017,             0.02115,                   0,             0.49846,             0.52899,             0.49158,             0.17433,             0.05469,            0.016199,                   0,           0.0038712,           0.0038712,            0.064971
                  15,            0.050036,            0.020274,                   0,              0.5832,             0.63043,             0.57657,             0.23103,            0.048642,            0.015922,                   0,            0.004127,            0.004127,            0.062627
                  16,            0.048927,            0.019677,                   0,              0.6603,             0.56522,             0.63353,             0.23376,            0.049002,            0.015868,                   0,           0.0043822,           0.0043822,            0.060282
                  17,             0.04817,            0.019575,                   0,             0.76477,             0.63768,             0.70704,             0.27836,            0.048441,            0.015327,                   0,           0.0046368,           0.0046368,            0.057937
                  18,            0.046555,            0.019577,                   0,             0.57763,             0.65942,             0.59119,             0.19228,            0.052574,             0.01475,                   0,           0.0048907,           0.0048907,            0.055591
                  19,            0.050359,            0.018262,                   0,             0.51089,             0.63043,             0.49671,             0.16453,            0.052828,            0.014434,                   0,           0.0051439,           0.0051439,            0.053244
                  20,             0.04997,            0.019371,                   0,             0.59498,             0.52899,             0.58266,              0.2201,            0.050345,            0.016026,                   0,           0.0053964,           0.0053964,            0.050896
                  21,            0.049636,            0.018187,                   0,             0.62372,             0.60145,             0.60083,             0.22192,            0.049242,            0.015062,                   0,           0.0056481,           0.0056481,            0.048548
                  22,            0.047963,            0.018382,                   0,             0.67044,             0.65217,             0.63337,             0.20559,            0.050443,             0.01465,                   0,            0.005899,            0.005899,            0.046199
                  23,            0.049055,            0.018796,                   0,             0.80672,             0.63515,              0.7347,             0.26528,            0.048862,            0.015168,                   0,           0.0061491,           0.0061491,            0.043849
                  24,            0.046082,            0.017761,                   0,             0.66095,             0.63768,             0.67991,             0.26753,            0.047486,             0.01617,                   0,           0.0063982,           0.0063982,            0.041498
                  25,            0.042638,            0.017689,                   0,             0.75397,             0.66622,             0.71509,             0.28417,            0.046754,            0.014627,                   0,           0.0066465,           0.0066465,            0.039146
                  26,             0.04558,            0.017718,                   0,              0.7317,             0.65216,             0.67489,             0.25012,            0.047149,            0.014788,                   0,           0.0068938,           0.0068938,            0.036794
                  27,            0.043969,            0.017188,                   0,             0.69893,             0.67391,             0.68268,             0.25041,             0.04973,            0.014849,                   0,           0.0071401,           0.0071401,             0.03444
                  28,            0.042317,            0.017183,                   0,             0.81033,             0.68116,             0.73127,             0.31267,             0.04574,             0.01458,                   0,           0.0073854,           0.0073854,            0.032085
                  29,            0.041286,            0.016696,                   0,             0.73012,             0.66667,             0.67966,             0.25694,            0.049467,             0.01488,                   0,           0.0076296,           0.0076296,             0.02973
                  30,            0.043014,            0.015983,                   0,             0.71502,             0.74638,             0.74345,              0.3092,            0.047013,            0.014106,                   0,           0.0078727,           0.0078727,            0.027373
                  31,            0.044282,            0.016892,                   0,             0.72127,             0.60145,             0.60014,             0.23181,            0.046906,            0.018813,                   0,           0.0081147,           0.0081147,            0.025015
                  32,            0.043518,            0.016901,                   0,             0.67789,             0.57952,             0.59857,             0.18471,            0.052257,            0.014579,                   0,           0.0083555,           0.0083555,            0.022655
                  33,            0.046537,            0.016367,                   0,              0.7199,              0.6146,             0.62846,             0.21535,            0.050356,            0.014904,                   0,           0.0085951,           0.0085951,            0.020295
                  34,             0.04256,            0.017077,                   0,             0.81815,             0.65217,             0.69775,             0.29425,            0.047294,            0.014962,                   0,           0.0088335,           0.0088335,            0.017933
                  35,            0.043774,            0.016371,                   0,             0.82197,              0.7026,             0.74865,             0.29267,            0.048641,            0.014282,                   0,           0.0090705,           0.0090705,            0.015571
                  36,            0.041736,            0.016957,                   0,             0.75982,             0.68775,             0.71998,             0.28102,            0.046288,            0.015278,                   0,           0.0093063,           0.0093063,            0.013206
                  37,            0.039669,             0.01745,                   0,             0.78401,             0.73649,             0.75132,             0.28633,            0.046773,            0.014701,                   0,           0.0095408,           0.0095408,            0.010841
                  38,            0.038781,            0.015772,                   0,             0.59596,             0.51449,             0.49645,             0.15892,            0.052984,            0.021691,                   0,           0.0096484,           0.0096484,           0.0096484
                  39,            0.042099,              0.0164,                   0,             0.77723,              0.6087,             0.68047,             0.24446,            0.048377,            0.015815,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.039141,            0.016053,                   0,             0.72934,             0.64437,             0.63555,             0.22491,            0.049926,            0.015558,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.040749,            0.016824,                   0,             0.77291,             0.69565,             0.74727,              0.2808,            0.048349,            0.014072,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.039382,            0.016123,                   0,             0.83307,             0.72464,             0.75024,             0.28803,            0.045179,            0.014829,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.040653,            0.016118,                   0,             0.69564,             0.69561,             0.69066,             0.23933,            0.050051,            0.015331,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.038313,            0.015617,                   0,             0.76283,             0.74581,             0.73434,             0.28935,            0.044364,             0.01495,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.037454,            0.015407,                   0,             0.81573,             0.67366,             0.68456,             0.26877,            0.050009,            0.015252,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.039399,            0.015734,                   0,             0.72352,             0.64493,              0.6661,             0.29632,            0.046535,             0.01565,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.034581,            0.015025,                   0,             0.74041,             0.68841,             0.64425,             0.25153,            0.047259,            0.017572,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.036735,            0.015831,                   0,             0.80025,             0.64493,             0.65925,             0.28683,            0.046731,             0.01722,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.037511,            0.014389,                   0,             0.82564,             0.65217,             0.66757,             0.27963,            0.044092,            0.016931,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.033827,            0.015343,                   0,              0.7998,             0.72464,             0.73868,             0.30638,            0.044194,            0.014867,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.035778,            0.014847,                   0,             0.75529,             0.76087,             0.76274,             0.29869,            0.046434,            0.014343,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.037046,            0.014815,                   0,             0.64858,             0.71014,             0.64776,             0.27256,             0.04634,            0.017763,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.034578,            0.014533,                   0,             0.82257,             0.73907,             0.76065,             0.31804,            0.044815,            0.015601,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.032189,            0.014469,                   0,             0.87999,              0.7029,             0.77452,             0.30698,            0.045382,            0.015851,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.034462,            0.014141,                   0,             0.88178,             0.70263,             0.78393,             0.30586,            0.046056,            0.015728,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,             0.03264,            0.014535,                   0,              0.7999,             0.72464,              0.7447,             0.27912,            0.047471,            0.016245,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.032267,            0.013712,                   0,             0.80766,             0.76072,             0.78917,             0.31747,            0.045444,            0.015501,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.032052,              0.0139,                   0,             0.82564,             0.65217,             0.71617,             0.29473,            0.045192,            0.016415,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,             0.03428,            0.014057,                   0,             0.78934,             0.76087,             0.73386,             0.28995,            0.045995,            0.016052,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,             0.03144,            0.013282,                   0,             0.86955,             0.72451,             0.76579,             0.29885,            0.045799,            0.016248,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.033185,             0.01361,                   0,             0.80831,             0.70281,             0.74208,             0.31472,            0.045387,            0.016263,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.030066,            0.014182,                   0,             0.79226,             0.74617,             0.76399,             0.32349,            0.044159,            0.015888,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,            0.030673,            0.013558,                   0,              0.8461,             0.71739,             0.77498,             0.30998,            0.045647,            0.015974,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,            0.033673,            0.014023,                   0,             0.86498,             0.74638,              0.8001,             0.29217,            0.046059,             0.01638,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,            0.031944,            0.014085,                   0,             0.85695,             0.78141,             0.79271,             0.33049,            0.045383,            0.014634,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.031162,            0.012989,                   0,             0.81165,             0.68841,             0.73621,              0.3134,            0.046821,            0.015271,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,            0.031672,             0.01346,                   0,             0.81882,             0.75323,             0.77678,             0.32466,            0.044728,            0.015292,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,            0.030426,            0.013798,                   0,             0.74302,             0.77536,             0.74703,             0.28325,            0.046025,            0.016597,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,            0.031934,            0.013611,                   0,             0.84605,             0.63719,             0.73197,             0.28014,            0.046986,            0.016402,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,            0.030802,            0.013205,                   0,             0.80646,             0.66667,             0.73193,             0.30072,            0.044561,            0.016799,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.030317,            0.013638,                   0,             0.85478,             0.76812,             0.80308,             0.31587,            0.044906,            0.016259,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,            0.029463,             0.01358,                   0,             0.83454,             0.76812,             0.79745,             0.32563,            0.045188,            0.015396,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.028939,              0.0129,                   0,             0.81501,             0.70236,             0.74778,             0.30557,            0.046491,            0.015932,                   0,           0.0087804,           0.0087804,           0.0087804
